Geografische Koordinate;Bezeichnung;Objektkategorie;Objektart;Objektname;Objektname-Zusatz;Information-Beschreibung;Information;Straße;Hausnummer;Ort;Link;Stadtbezirk Nr;Stadtbezirk;Statistischer Bezirk Nr;Statistischer Bezirk;Unterbezirk Nr;Unterbezirk;UUID;Ostwert;Hochwert;Kommune
51.5623183867, 7.5184614428;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Zweirad Frischmuth;Nette Toilette;Standort: Derner Str. 484;;;;Dortmund;;2;Scharnhorst;230;Kirchderne;232;Kirchderne;c57aed95-bfc9-4ba9-b17f-9a27bd47dba8;397305.2499999297;5713399.9299995145;Dortmund
51.4948546946, 7.4611278336;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Remydamm;Pissoir;;;Dortmund;;30;Innenstadt-Ost;090;Ruhrallee;091;Ruhrallee West;778d45b2-9cf4-4f01-99a1-1343b1867b2c;393173.5137053082;5705979.705025967;Dortmund
51.4757542726, 7.4394450492;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bäckerei Kamps;Nette Toilette;;;Harkortstraße;55A;Dortmund;;6;Hombruch;650;Hombruch;651;Hombruch;0cb2f97c-2c0c-4dad-b0e9-30133fa59a9a;391623.128543823;5703887.530188524;Dortmund
51.4778986818, 7.532574884;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bäckermeister Grobe;Nette Toilette;Standort: Berghofer Str. 141;;;;Dortmund;;4;Aplerbeck;420;Berghofen;421;Berghofen Dorf;d1b4a2e5-3c4e-46b8-8b83-41e1b9579ed7;398095.2299999322;5703992.269999519;Dortmund
51.5049941439, 7.4638853226;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bäckermeister Grobe Saarlandstr.;Nette Toilette;Standort: Chemnitzer Str. 65;;Chemnitzer Straße;;Dortmund;;30;Innenstadt-Ost;090;Ruhrallee;091;Ruhrallee West;521b8d38-d3a0-4073-b97b-8a70d11cd6e8;393388.58854514384;5707103.235640983;Dortmund
51.4878192589, 7.5013427788;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bezirksverwaltungsstelle;Nette Toilette;Standort: Hörder Brücke;Rollstuhleignung: Ja;;;Dortmund;;5;Hörde;530;Hörde;535;Clarenberg;b76828fc-cb29-4b6a-bf7e-c418c7ee39d7;395949.02075868176;5705139.41237304;Dortmund
51.5523263128, 7.5444761437;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bezirksverwaltungsstelle;Nette Toilette;Standort: Gleiwitzstr. 277;;;;Dortmund;;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;918dd83c-87e7-4801-b18e-8c799c7300fd;399086.2899999356;5712252.539999529;Dortmund
51.5115366096, 7.4476223648;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Biercafé West im Eugen Krautscheid Haus;Nette Toilette;Standort: Lange Str. 42;Rollstuhleignung: Ja;;;Dortmund;;10;Innenstadt-West;020;Dorstfelder Brücke;021;Westpark;2550f36d-1740-42da-b3db-937a741dbef6;392275.37999991025;5707854.599999468;Dortmund
51.513297818, 7.4822387523;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Brüderlich Restaurant;Nette Toilette;Standort: Kaiserstr. 92;;;;Dortmund;;30;Innenstadt-Ost;070;Kaiserbrunnen;071;Kaiserbrunnen;5bc6ef3c-1192-4f9b-a5df-531203a11a03;394681.4599999201;5708000.069999494;Dortmund
51.5056020725, 7.4514283699;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Bürgermeister Lindemann;Nette Toilette;Standort: Lindemannstraße 12;;Lindemannstraße;12;Dortmund;;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;64a58b42-b28a-4e30-917c-f052bd5d026c;392525.51251436316;5707189.058172055;Dortmund
51.5136939763, 7.4754819037;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Café Auszeit;Nette Toilette;Standort: Kaiserstr. 17a;Rollstuhleignung: Ja;;;Dortmund;;30;Innenstadt-Ost;070;Kaiserbrunnen;071;Kaiserbrunnen;26c84333-fe1d-4634-b48a-8cb3f38d126f;394213.53999991826;5708053.869999489;Dortmund
51.531205897, 7.4137556811;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Café täglich;Nette Toilette;Standort: Rahmer Str. 11;;;;Dortmund;;8;Huckarde;820;Huckarde;824;Huckarde;9a039ea7-98f0-443b-a921-4ded72440545;389972.80999990023;5710092.299999446;Dortmund
51.4776776914, 7.5997989971;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Edeka Meierjohann;Nette Toilette;Standort: Nelkenstr. 4a;;;;Dortmund;;4;Aplerbeck;450;Sölderholz;452;Lichtendorf;b26f83df-51bf-40a7-9d79-6f62c0109263;402762.8999999465;5703876.279999551;Dortmund
51.5531112152, 7.4579621512;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Ehemaliges Wohlfahrtsgebäude;Nette Toilette;Standort: Nollendorfplatz 2 - 4;Rollstuhleignung: Ja;;;Dortmund;;1;Eving;120;Eving;121;Niedereving;b44b0eb0-b49d-41fe-b316-d39e983a3d79;393090.29999991355;5712462.729999479;Dortmund
51.5156572054, 7.5064443134;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Eiscafé San Remo;Nette Toilette;Standort: Körner Hellweg 69;;;;Dortmund;;30;Innenstadt-Ost;070;Kaiserbrunnen;073;Körne;38d2e2f0-d3d0-451c-b25a-21c37365de6c;396366.3699999265;5708227.889999508;Dortmund
51.573973492, 7.4585633426;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Ev. Kindergarten Brechtener Heide;Nette Toilette;Standort: Wittichstraße 186;Rollstuhleignung: Ja;;;Dortmund;;1;Eving;110;Brechten;112;Brechten-Süd;92a1502e-497e-48a9-90a1-58b65a43e4ca;393180.8799999139;5714781.849999479;Dortmund
51.4999494209, 7.5602171131;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Flüchtlingshilfe e.V.;Nette Toilette;Standort: Aplerbecker Str. 455;;;;Dortmund;;4;Aplerbeck;410;Aplerbeck;412;Marsbruchstraße;52bf3de9-4a83-43aa-86fa-d218dedcdef6;400062.96999993885;5706406.319999536;Dortmund
51.5628282989, 7.4833583919;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Friedhof Kemminghausen;Nette Toilette;Standort: Brechtener Str. 37;;;;Dortmund;;1;Eving;120;Eving;124;Kemminghausen;4e3825cb-d4be-4df6-90dd-dc7126678fe3;394873.3399999207;5713506.509999495;Dortmund
51.4819317882, 7.4894390362;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Gartenverein - Am grünen Entenpoth;Nette Toilette;;Rollstuhleignung: Ja;Nortkirchenstraße;20;Dortmund;;5;Hörde;520;Hacheney;522;Pferdebachtal;2d6c891b-5198-4fd5-b046-508518d431fb;395109.08395751787;5704501.685179058;Dortmund
51.5001672612, 7.3373664389;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Gaststätte Alte Post;Nette Toilette;Standort: Theresenstr. 4;Rollstuhleignung: Ja (nur Herren-WC);;;Dortmund;;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;c765225b-3be5-4ca6-8906-6bea395a1f90;384596.09999987314;5706758.349999373;Dortmund
51.5325635375, 7.6142890941;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Gaststätte Alter Hellweg;Nette Toilette;Standort: Wickeder Hellweg 129;;;;Dortmund;;3;Brackel;340;Wickede;342;Wickede Dorf;054c8a19-e79c-4f58-be15-0e6b031dcaa9;403884.67999994993;5709960.779999558;Dortmund
51.4802109033, 7.4900122333;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Gaststätte - Im Justenkamp;Nette Toilette;;Rollstuhleignung: Ja;Nortkirchenstraße;22;Dortmund;;5;Hörde;520;Hacheney;522;Pferdebachtal;0c515b3e-061b-4ba1-b453-0cc67ac4a293;395144.9368885172;5704309.494298956;Dortmund
51.4891041716, 7.5006327082;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Gaststätte Poststübchen;Nette Toilette;Standort: Hermannstr. 39;;;;Dortmund;;5;Hörde;530;Hörde;532;Hörde;2f565aec-a103-44a9-82ad-71d8891c014c;395902.6499999244;5705283.309999502;Dortmund
51.5156418147, 7.5022544934;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Haus Gobbrecht;Nette Toilette;Standort: Körner Hellweg 42;;;;Dortmund;;30;Innenstadt-Ost;070;Kaiserbrunnen;073;Körne;02944db8-4d09-46ae-a0ff-14e4ef5a576b;396075.6299999251;5708232.119999504;Dortmund
51.4977481552, 7.359097133;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Imbissbetrieb Futterluke;Nette Toilette;Standort: Lütgendortmunder Hellweg 24;;;;Dortmund;;7;Lütgendortmund;730;Lütgendortmund;734;Lütgendortmund-Ost;7c93bf31-ba9b-4b84-91c4-706dc501fd9e;386098.3099998811;5706455.2999993935;Dortmund
51.5765268156, 7.5625032743;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;KGV Auf der Lauke;Nette Toilette;Standort: Schafstallstr. 30;;;;Dortmund;;2;Scharnhorst;250;Lanstrop;251;Lanstrop-Neu;2548c03b-1ba6-49fa-b55b-cc79b312e727;400388.97999993974;5714919.07999954;Dortmund
51.5128012615, 7.4831705474;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Küchen-Wirtschaft Bismarck;Nette Toilette;Standort: Bismarckstr. 1;;;;Dortmund;;30;Innenstadt-Ost;070;Kaiserbrunnen;071;Kaiserbrunnen;8af1fa1f-6f18-4fb4-9d40-36aa4ab9d2e0;394744.96999992046;5707943.509999491;Dortmund
51.5327219287, 7.4531322044;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Kulturort DEPOT;Nette Toilette;;Rollstuhleignung: Ja;Immermannstraße;29;Dortmund;;20;Innenstadt-Nord;040;Hafen;041;Hafen;e15f4e5d-c991-4f7b-878e-443028290eb6;392707.5099999119;5710202.409999473;Dortmund
51.5316760446, 7.4146153641;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Markt-Schänke;Nette Toilette;Standort: Rahmer Str. 5;;;;Dortmund;;8;Huckarde;820;Huckarde;824;Huckarde;b4cacfaa-a93b-41d1-a3cb-fb71bc943184;390033.5699999003;5710143.289999446;Dortmund
51.5664562503, 7.5785169255;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Mowwe Restaurant & Café;Nette Toilette;Standort: Im Ostfeld 185;;;;Dortmund;;2;Scharnhorst;250;Lanstrop;252;Lanstrop-Alt;9abcd5fc-acf4-4d81-b65e-833d98d0cb56;401476.81999994273;5713777.469999545;Dortmund
51.5097109437, 7.4199124158;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Mütterzentrum;Nette Toilette;Standort: Hospitalstr. 6;Rollstuhleignung: Ja;;;Dortmund;;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;7404fdf1-534d-407f-af5a-e508b7211a54;390348.2199999021;5707692.729999446;Dortmund
51.5308339376, 7.4142017594;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Nette Toilette;;Standort: Rahmer Straße 15, Bezirksverwaltungsstelle Huckarde;Rollstuhleignung: Ja;Rahmer Straße;15;Dortmund;;8;Huckarde;820;Huckarde;824;Huckarde;e67c8f77-81f0-458d-b2c2-d179cff0d0ac;390002.85312302294;5710050.265781516;Dortmund
51.5449637522, 7.3737553356;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Quartiersmanagement;Nette Toilette;Standort: Westerfilder Str. 23;;;;Dortmund;;9;Mengede;960;Westerfilde;960;Westerfilde;5bc97647-60ce-41de-b986-de206934b1a2;387232.4299998872;5711683.13999941;Dortmund
51.5520138414, 7.3666279707;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Restaurant Fachwerk;Nette Toilette;Standort: Schlossstr. 44;;;;Dortmund;;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;f8d5abe7-d5a1-48c7-8ab8-c6748c323116;386755.7399998848;5712478.149999404;Dortmund
51.4972504274, 7.3993837428;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Rewe Mankel;Nette Toilette;Standort: Planetenfeldstr. 24;;;;Dortmund;;10;Innenstadt-West;030;Dorstfeld;033;Oberdorstfeld;8f3ad767-29c9-4aca-907f-a58c706c5de9;388893.3907002773;5706338.031692047;Dortmund
51.4969394774, 7.5367203592;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Schürener Backparadies;Nette Toilette;Standort: Gevelsbergstr. 26;;;;Dortmund;;4;Aplerbeck;430;Schüren;432;Schüren-Alt;9534ecfd-a11e-4785-b449-c5caed945d30;398425.41999993334;5706103.939999522;Dortmund
51.5699210505, 7.3926183572;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Seniorenhaus Hausemannstift;Nette Toilette;Standort: Mengeder Schulstraße 51;;Mengeder Schulstraße;51;Dortmund;;9;Mengede;920;Mengede;923;Mengede-Mitte;288da41c-9710-4c6a-9b14-8d35556c2de6;388601.356443086;5714429.594381843;Dortmund
51.5637801879, 7.383579993;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Sportklause;Nette Toilette;Standort: Wodanstr. 26;;;;Dortmund;;9;Mengede;920;Mengede;924;Alte Kolonie;c2850af4-0948-45b7-bbd3-49ff8637b024;387959.89999989065;5713760.50999942;Dortmund
51.5708401884, 7.3786229815;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Städt. Begegnungszentrum Mengede;Nette Toilette;Standort: Bürenstr. 1;Rollstuhleignung: Ja;;;Dortmund;;9;Mengede;920;Mengede;923;Mengede-Mitte;d1c83195-a417-40de-ac78-329b9097d1b6;387633.73999988916;5714553.219999417;Dortmund
51.570612075, 7.3843725735;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Stadtteilbibliothek;Nette Toilette;Standort: Rigwinstr. 32;Rollstuhleignung: Ja;;;Dortmund;;9;Mengede;920;Mengede;923;Mengede-Mitte;1d58e2ae-4251-4d96-92d9-72afd4fa12d5;388031.6193821893;5714519.033301946;Dortmund
51.5756984622, 7.5684700016;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Steak Haus Alte Post;Nette Toilette;Standort: Lanstroper Str. 89;;;;Dortmund;;2;Scharnhorst;250;Lanstrop;252;Lanstrop-Alt;291f20d9-cdff-4665-a274-42853fd4eabd;400800.6199999411;5714818.8499995405;Dortmund
51.5658516369, 7.3697652448;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Tagespflege Am Königshalt;Nette Toilette;;Rollstuhleignung: Ja;Castroper Straße;124;Dortmund;;9;Mengede;940;Oestrich;940;Oestrich;4bcbf8c9-3920-4209-ac72-09b61f51c3fc;387007.54193663155;5714012.1193576725;Dortmund
51.5151345325, 7.4684411259;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Toilettenanlage DSW21 Reinoldikirche;;Kostenlos;;Willy-Brandt-Platz;1;Dortmund;;10;Innenstadt-West;000;City;001;City-Ost;fb928edb-ba7a-41a6-b2a4-d8159823dced;393728.35855936323;5708224.267458202;Dortmund
51.5253420262, 7.4608536228;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;Tortys Café;Nette Toilette;Standort: Münsterstraße 115;Rollstuhleignung: Ja;Münsterstraße;115;Dortmund;;20;Innenstadt-Nord;050;Nordmarkt;053;Nordmarkt-West;f6b4efeb-5f74-48ff-acdc-7943d2eab985;393225.7825953623;5709370.434159283;Dortmund
51.546891503, 7.4290186533;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;TuS Freiheit Deusen 1910 e.V.;Nette Toilette;Standort: Deusener Str. 227;;;;Dortmund;;8;Huckarde;810;Deusen;810;Deusen;676ef10b-7b45-4fda-99d7-22c9cf5555f1;391068.8999999051;5711813.769999457;Dortmund
51.493600652, 7.4690670456;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;;;Standort: An der Buschmühle;Pissoir;;;Dortmund;;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;7a3e95f9-71c1-4f87-a1a9-ab629ba847b1;393721.6972996358;5705828.694088309;Dortmund
51.4936068675, 7.4485291993;Toilette öffentlich;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Strobelallee / Am Westfalenstadion;Pissoir;;;Dortmund;;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;4f608ddb-9482-49d9-8812-9710147d0077;392296.0396158417;5705859.402291466;Dortmund
51.5089750168, 7.4468599364;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Westpark, Rittershausstraße 40;;;;Dortmund;;10;Innenstadt-West;020;Dorstfelder Brücke;022;Dorstfelder Brücke;c165f7cf-dcf5-4b16-b98d-a063e7c93861;392216.42997567105;5707570.862244793;Dortmund
51.5712040322, 7.3814156195;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Mengede, Siegburgstraße 2;;;;Dortmund;;9;Mengede;920;Mengede;923;Mengede-Mitte;d90e8ea6-23d1-457d-81ae-cc39f76a3e2c;387828.16210964444;5714589.39351161;Dortmund
51.5139912372, 7.4725738075;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Ostenhellweg, Ostwall 3;;;;Dortmund;;10;Innenstadt-West;000;City;001;City-Ost;70abb0f6-5320-4b9f-afd7-47f3f85d4071;394012.44762197556;5708091.134444699;Dortmund
51.488710258, 7.5132130444;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Hörde, Phoenixseestraße neb. 22a / Phoenix See Süd;;;;Dortmund;;5;Hörde;530;Hörde;532;Hörde;a8e3b7af-022e-42e0-b2f8-3a6768225572;396775.1377960626;5705221.691856149;Dortmund
51.5122647562, 7.4671420925;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Betenstraße 20;;;;Dortmund;;10;Innenstadt-West;000;City;001;City-Ost;1dc50e47-83bf-4064-b1a5-918a3b0e9f92;393631.54150964617;5707907.022162446;Dortmund
51.5131339583, 7.4851048108;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Kaiserstraße 99;;;;Dortmund;;30;Innenstadt-Ost;070;Kaiserbrunnen;071;Kaiserbrunnen;c936b3a2-95e3-493c-9b90-b7ba10fdc207;394879.95022702444;5707977.727413337;Dortmund
51.555052638, 7.4734866914;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Eving, Waldecker Straße Ecke Bayrische Straße;;;;Dortmund;;1;Eving;120;Eving;122;Eving;dccc1305-ea6e-4e91-b932-ddfda9340441;394171.06677066744;5712656.049763533;Dortmund
51.5092446499, 7.3800047006;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Marten, Marktplatz / Barichstraße;;;;Dortmund;;7;Lütgendortmund;740;Marten;742;Marten;0ee9b3a7-9027-4fdd-8c7b-9b45522add45;387577.7994415975;5707701.423191826;Dortmund
51.5307232871, 7.4133089704;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Huckarde, Friedhof Urbanusstraße;;;;Dortmund;;8;Huckarde;820;Huckarde;824;Huckarde;7d35fa18-73fe-4adb-9680-c0255873aeda;389940.66250026884;5710039.303560561;Dortmund
51.4761941262, 7.4378747569;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Hombruch, Ginsterstraße 1;;;;Dortmund;;6;Hombruch;650;Hombruch;651;Hombruch;dc923331-88cd-4398-a96c-3567f256f9bd;391515.1250548093;5703938.768896014;Dortmund
51.5525188124, 7.5415831463;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Scharnhorst, Gleiwitzstraße 267;;Gleiwitzstraße;267;Dortmund;;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;eae8c2e1-8fa2-4438-bec0-b43798d4a723;398886.1506582402;5712277.94234441;Dortmund
51.4918938257, 7.5081609138;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Hörde, Phoenix See Nordufer;;Bundesstraße B 236 tlw.;;Dortmund;;5;Hörde;530;Hörde;532;Hörde;21f157fd-14f8-4cb1-88b0-8d16eb6d27f8;396431.61018663086;5705582.855110049;Dortmund
51.5213011604, 7.450442354;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Blücherpark, Feldherrnstraße 28;;;;Dortmund;;20;Innenstadt-Nord;040;Hafen;043;Hafen-Südost;4644f2b9-c2a2-4b97-9fd3-34485ea3d7a4;392494.05138327467;5708936.314967365;Dortmund
51.5129291871, 7.4228998002;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Dorstfeld, Wittener Straße 3;;;;Dortmund;;10;Innenstadt-West;030;Dorstfeld;031;Hallerey;78170285-5a83-4862-9902-64dd25bd4e45;390563.23336736206;5708046.1402342;Dortmund
51.5239349081, 7.5506250695;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Brackel, Brackeler Hellweg 165;;;;Dortmund;;3;Brackel;320;Brackel;325;Brackel Hellweg;cf82d5d8-79f8-42bc-a8fc-5de5035046dd;399450.0320152349;5709086.779137895;Dortmund
51.4968465045, 7.4587196178;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Rheinlanddamm 200/ Westfalenhalle;;;;Dortmund;;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;5c3c4ba2-f1bb-4432-abf5-96d88f8028ed;393011.011485575;5706204.719839491;Dortmund
51.4918785176, 7.5555035132;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Aplerbeck, Marktplatz;;;;Dortmund;;4;Aplerbeck;410;Aplerbeck;413;Aplerbecker Markt;869f256d-4c0a-4859-9b34-e38f1c43bd1a;399718.0975442996;5705515.238360881;Dortmund
51.5000248056, 7.333426576;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Lütgendortmund, Limbecker Straße Ecke Werner Straße;;;;Dortmund;;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;2acc127b-d67c-41e6-8d2e-b4d87f0644f8;384322.2894726262;5706748.727738014;Dortmund
51.4893391843, 7.5025496176;Toilette öffentlich behindertengerecht;XE_Servicestelle;ToiletteOeffentlichBehindertengerecht;Öffentliche Toilette;;Standort: Hörde, Stiftsplatz, Hermannstraße 57-63;;;;Dortmund;;5;Hörde;530;Hörde;532;Hörde;fa52c381-49e1-4cc2-8481-c1d0570f7b1e;396036.26406906015;5705306.720556129;Dortmund
51.493600652, 7.4690670456;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: An der Buschmühle;Pissoir;;;Dortmund;;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;7a3e95f9-71c1-4f87-a1a9-ab629ba847b1;393721.6972996358;5705828.694088309;Dortmund
51.4919492054, 7.4553957025;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Bolmker Weg / Schwimmweg;Pissoir;;;Dortmund;;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;00f00ba7-10dc-49c0-8fe2-0ce178977cef;392768.8004236317;5705664.983150637;Dortmund
51.4948546946, 7.4611278336;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Remydamm;Pissoir;;;Dortmund;;30;Innenstadt-Ost;090;Ruhrallee;091;Ruhrallee West;778d45b2-9cf4-4f01-99a1-1343b1867b2c;393173.5137053082;5705979.705025967;Dortmund
51.4936068675, 7.4485291993;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Strobelallee / Am Westfalenstadion;Pissoir;;;Dortmund;;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;4f608ddb-9482-49d9-8812-9710147d0077;392296.0396158417;5705859.402291466;Dortmund
51.4935466983, 7.462828462;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Viktor_Toyka_Straße 6;Pissoir;;;Dortmund;;30;Innenstadt-Ost;090;Ruhrallee;091;Ruhrallee West;f0a45395-6b21-4fe9-be56-2a0a4454e3f4;393288.50823667936;5705831.769869562;Dortmund
51.4946704391, 7.4439796811;Toilette öffentlich Pissoir;XE_Servicestelle;ToiletteOeffentlich;;;Standort: Am Westfalenstadion / Wittekindstraße 106;Pissoir;;;Dortmund;;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;98bdb759-456c-4c9a-8609-aa9217a304f1;391982.74108933815;5705984.379205073;Dortmund
