Jahr;Stadtteil_Nummer;Stadtteil_Name;personen_insgesamt;personen_mit_migrationshintergrund;personen_ohne_migrationshintergrund
2020;011;Altstadt;2421;1275;1146
2020;012;Carlstadt;2266;776;1490
2020;013;Stadtmitte;14679;9099;5580
2020;014;Pempelfort;33147;13026;20121
2020;015;Derendorf;20564;8522;12042
2020;016;Golzheim;12880;4850;8030
2020;021;Flingern Sued;10293;6039;4254
2020;022;Flingern Nord;25882;11160;14722
2020;023;Duesseltal;28027;11495;16532
2020;031;Friedrichstadt;19624;9835;9789
2020;032;Unterbilk;19368;7271;12097
2020;033;Hafen;106;51;55
2020;034;Hamm;4525;922;3603
2020;035;Volmerswerth;2342;684;1658
2020;036;Bilk;41147;16392;24755
2020;037;Oberbilk;31170;17709;13461
2020;038;Flehe;2763;652;2111
2020;041;Oberkassel;19063;5980;13083
2020;042;Heerdt;12392;6379;6013
2020;043;Loerick;7499;3180;4319
2020;044;Niederkassel;6077;2368;3709
2020;051;Stockum;5604;1779;3825
2020;052;Lohausen;4171;1471;2700
2020;053;Kaiserswerth;7942;2545;5397
2020;054;Wittlaer;8117;2980;5137
2020;055;Angermund;6750;1753;4997
2020;056;Kalkum;1970;474;1496
2020;061;Lichtenbroich;6100;3300;2800
2020;062;Unterrath;22020;7589;14431
2020;063;Rath;20482;11218;9264
2020;064;Moersenbroich;18033;8938;9095
2020;071;Gerresheim;29653;9651;20002
2020;072;Grafenberg;5855;1936;3919
2020;073;Ludenberg;7918;2547;5371
2020;074;Hubbelrath;1631;323;1308
2020;075;Knittkuhl;2046;549;1497
2020;081;Lierenfeld;11099;6192;4907
2020;082;Eller;31187;14352;16835
2020;083;Vennhausen;10713;3299;7414
2020;084;Unterbach;7800;2058;5742
2020;091;Wersten;27176;11256;15920
2020;092;Himmelgeist;2073;402;1671
2020;093;Holthausen;12793;7036;5757
2020;094;Reisholz;3755;2174;1581
2020;095;Benrath;17146;6231;10915
2020;096;Urdenbach;10574;3099;7475
2020;097;Itter;2416;546;1870
2020;098;Hassels;18484;11127;7357
2020;101;Garath;19056;9625;9431
2020;102;Hellerhof;5739;2258;3481
2021;011;Altstadt;2368;1296;1072
2021;012;Carlstadt;2232;767;1465
2021;013;Stadtmitte;14931;9370;5561
2021;014;Pempelfort;32854;13126;19728
2021;015;Derendorf;20659;8720;11939
2021;016;Golzheim;12933;4912;8021
2021;021;Flingern Sued;10088;5936;4152
2021;022;Flingern Nord;25656;11073;14583
2021;023;Duesseltal;28255;11866;16389
2021;031;Friedrichstadt;19557;10005;9552
2021;032;Unterbilk;19303;7302;12001
2021;033;Hafen;265;133;132
2021;034;Hamm;4587;957;3630
2021;035;Volmerswerth;2350;680;1670
2021;036;Bilk;41230;16707;24523
2021;037;Oberbilk;30922;17810;13112
2021;038;Flehe;2753;654;2099
2021;041;Oberkassel;19070;6049;13021
2021;042;Heerdt;12611;6586;6025
2021;043;Loerick;7430;3209;4221
2021;044;Niederkassel;6084;2404;3680
2021;051;Stockum;5592;1803;3789
2021;052;Lohausen;4143;1487;2656
2021;053;Kaiserswerth;7904;2595;5309
2021;054;Wittlaer;8091;2968;5123
2021;055;Angermund;6765;1774;4991
2021;056;Kalkum;1966;475;1491
2021;061;Lichtenbroich;6123;3358;2765
2021;062;Unterrath;21953;7695;14258
2021;063;Rath;21022;11587;9435
2021;064;Moersenbroich;17851;8907;8944
2021;071;Gerresheim;29447;9622;19825
2021;072;Grafenberg;5847;2010;3837
2021;073;Ludenberg;7889;2586;5303
2021;074;Hubbelrath;1670;329;1341
2021;075;Knittkuhl;2075;577;1498
2021;081;Lierenfeld;11135;6301;4834
2021;082;Eller;30798;14342;16456
2021;083;Vennhausen;10644;3319;7325
2021;084;Unterbach;7803;2084;5719
2021;091;Wersten;27054;11350;15704
2021;092;Himmelgeist;2084;426;1658
2021;093;Holthausen;12644;6983;5661
2021;094;Reisholz;3707;2149;1558
2021;095;Benrath;17230;6352;10878
2021;096;Urdenbach;10484;3077;7407
2021;097;Itter;2406;531;1875
2021;098;Hassels;18605;11263;7342
2021;101;Garath;18991;9787;9204
2021;102;Hellerhof;5724;2266;3458
2022;011;Altstadt;2555;1510;1045
2022;012;Carlstadt;2247;810;1437
2022;013;Stadtmitte;15730;10312;5418
2022;014;Pempelfort;33726;14247;19479
2022;015;Derendorf;21441;9417;12024
2022;016;Golzheim;13083;5163;7920
2022;021;Flingern Sued;10269;6130;4139
2022;022;Flingern Nord;26283;11783;14500
2022;023;Duesseltal;28763;12603;16160
2022;031;Friedrichstadt;20144;10742;9402
2022;032;Unterbilk;19471;7682;11789
2022;033;Hafen;371;203;168
2022;034;Hamm;4649;988;3661
2022;035;Volmerswerth;2408;743;1665
2022;036;Bilk;41375;17116;24259
2022;037;Oberbilk;31369;18577;12792
2022;038;Flehe;2835;725;2110
2022;041;Oberkassel;19219;6382;12837
2022;042;Heerdt;13017;7016;6001
2022;043;Loerick;7463;3285;4178
2022;044;Niederkassel;6086;2428;3658
2022;051;Stockum;5710;1961;3749
2022;052;Lohausen;4252;1638;2614
2022;053;Kaiserswerth;7950;2689;5261
2022;054;Wittlaer;8133;3044;5089
2022;055;Angermund;6905;1932;4973
2022;056;Kalkum;2000;498;1502
2022;061;Lichtenbroich;6294;3530;2764
2022;062;Unterrath;22258;8209;14049
2022;063;Rath;21347;12069;9278
2022;064;Moersenbroich;18366;9513;8853
2022;071;Gerresheim;29664;10020;19644
2022;072;Grafenberg;5872;2126;3746
2022;073;Ludenberg;7882;2656;5226
2022;074;Hubbelrath;1675;386;1289
2022;075;Knittkuhl;2080;586;1494
2022;081;Lierenfeld;11094;6415;4679
2022;082;Eller;30854;14706;16148
2022;083;Vennhausen;10715;3523;7192
2022;084;Unterbach;7973;2256;5717
2022;091;Wersten;27176;11741;15435
2022;092;Himmelgeist;2191;469;1722
2022;093;Holthausen;12835;7294;5541
2022;094;Reisholz;3730;2187;1543
2022;095;Benrath;17299;6585;10714
2022;096;Urdenbach;10423;3154;7269
2022;097;Itter;2402;547;1855
2022;098;Hassels;18935;11731;7204
2022;101;Garath;19054;10042;9012
2022;102;Hellerhof;5690;2280;3410
2023;011;Altstadt;2506;1503;1003
2023;012;Carlstadt;2222;813;1409
2023;013;Stadtmitte;16057;10568;5489
2023;014;Pempelfort;33677;14494;19183
2023;015;Derendorf;21505;9582;11923
2023;016;Golzheim;12981;5149;7832
2023;021;Flingern Sued;10327;6237;4090
2023;022;Flingern Nord;26360;11955;14405
2023;023;Duesseltal;29039;12932;16107
2023;031;Friedrichstadt;20142;10829;9313
2023;032;Unterbilk;19495;7816;11679
2023;033;Hafen;376;213;163
2023;034;Hamm;4646;1017;3629
2023;035;Volmerswerth;2441;764;1677
2023;036;Bilk;41702;17659;24043
2023;037;Oberbilk;31569;18971;12598
2023;038;Flehe;2867;769;2098
2023;041;Oberkassel;19091;6407;12684
2023;042;Heerdt;13165;7222;5943
2023;043;Loerick;7906;3635;4271
2023;044;Niederkassel;6080;2461;3619
2023;051;Stockum;5664;1987;3677
2023;052;Lohausen;4268;1653;2615
2023;053;Kaiserswerth;7928;2709;5219
2023;054;Wittlaer;8069;3050;5019
2023;055;Angermund;6922;1959;4963
2023;056;Kalkum;2002;511;1491
2023;061;Lichtenbroich;6387;3551;2836
2023;062;Unterrath;22467;8518;13949
2023;063;Rath;22144;12784;9360
2023;064;Moersenbroich;18022;9369;8653
2023;071;Gerresheim;29825;10217;19608
2023;072;Grafenberg;5908;2215;3693
2023;073;Ludenberg;7818;2648;5170
2023;074;Hubbelrath;1657;382;1275
2023;075;Knittkuhl;2036;580;1456
2023;081;Lierenfeld;11056;6407;4649
2023;082;Eller;30955;15092;15863
2023;083;Vennhausen;10679;3590;7089
2023;084;Unterbach;8481;2629;5852
2023;091;Wersten;27112;11830;15282
2023;092;Himmelgeist;2161;453;1708
2023;093;Holthausen;12819;7386;5433
2023;094;Reisholz;3661;2173;1488
2023;095;Benrath;17364;6694;10670
2023;096;Urdenbach;10325;3167;7158
2023;097;Itter;2457;567;1890
2023;098;Hassels;18759;11663;7096
2023;101;Garath;19019;10213;8806
2023;102;Hellerhof;5618;2239;3379
2024;011;Altstadt;2491;1478;1013
2024;012;Carlstadt;2207;828;1379
2024;013;Stadtmitte;16469;10854;5615
2024;014;Pempelfort;33622;14627;18995
2024;015;Derendorf;21966;10123;11843
2024;016;Golzheim;13004;5209;7795
2024;021;Flingern Sued;10258;6206;4052
2024;022;Flingern Nord;26371;12074;14297
2024;023;Duesseltal;29411;13284;16127
2024;031;Friedrichstadt;20255;11138;9117
2024;032;Unterbilk;19310;7774;11536
2024;033;Hafen;398;247;151
2024;034;Hamm;4671;1056;3615
2024;035;Volmerswerth;2454;796;1658
2024;036;Bilk;41747;17953;23794
2024;037;Oberbilk;31869;19411;12458
2024;038;Flehe;2918;800;2118
2024;041;Oberkassel;19013;6442;12571
2024;042;Heerdt;13561;7558;6003
2024;043;Loerick;8384;4052;4332
2024;044;Niederkassel;6093;2512;3581
2024;051;Stockum;5656;2024;3632
2024;052;Lohausen;4287;1729;2558
2024;053;Kaiserswerth;7933;2754;5179
2024;054;Wittlaer;7987;3032;4955
2024;055;Angermund;6930;1955;4975
2024;056;Kalkum;2035;533;1502
2024;061;Lichtenbroich;6374;3594;2780
2024;062;Unterrath;22483;8675;13808
2024;063;Rath;22835;13462;9373
2024;064;Moersenbroich;17533;9026;8507
2024;071;Gerresheim;30276;10485;19791
2024;072;Grafenberg;5911;2241;3670
2024;073;Ludenberg;7744;2669;5075
2024;074;Hubbelrath;1667;392;1275
2024;075;Knittkuhl;2040;579;1461
2024;081;Lierenfeld;10926;6351;4575
2024;082;Eller;30978;15478;15500
2024;083;Vennhausen;10618;3664;6954
2024;084;Unterbach;8620;2757;5863
2024;091;Wersten;26872;11860;15012
2024;092;Himmelgeist;2174;458;1716
2024;093;Holthausen;12755;7428;5327
2024;094;Reisholz;3646;2174;1472
2024;095;Benrath;17360;6809;10551
2024;096;Urdenbach;10286;3205;7081
2024;097;Itter;2465;569;1896
2024;098;Hassels;18893;11904;6989
2024;101;Garath;18986;10368;8618
2024;102;Hellerhof;5608;2242;3366